Rnd,Pick,Tm,Player,Pos,Age,To,-9999
1,1,LAR,Jared Goff,QB,21,2023,GoffJa00
1,2,PHI,Carson Wentz,QB,23,2022,WentCa00
1,3,SDG,Joey Bosa,DE,21,2023,BosaJo00
1,4,DAL,Ezekiel Elliott,RB,21,2023,ElliEz00
1,5,JAX,Jalen Ramsey,CB,21,2022,RamsJa00
1,6,BAL,Ronnie Stanley,T,22,2023,StanRo00
1,7,SFO,DeForest Buckner,DE,22,2023,BuckDe00
1,8,TEN,Jack Conklin,T,22,2023,ConkJa00
1,9,CHI,Leonard Floyd,OLB,23,2023,FloyLe00
1,10,NYG,Eli Apple,CB,21,2023,ApplEl00
1,11,TAM,Vernon Hargreaves III,CB,21,2021,HargVe00
1,12,NOR,Sheldon Rankins,DT,22,2023,RankSh00
1,13,MIA,Laremy Tunsil,T,22,2023,TunsLa00
1,14,OAK,Karl Joseph,S,22,2021,JoseKa00
1,15,CLE,Corey Coleman,WR,22,2018,ColeCo00
1,16,DET,Taylor Decker,T,23,2023,DeckTa00
1,17,ATL,Keanu Neal,S,21,2023,NealKe01
1,18,IND,Ryan Kelly,C,23,2023,KellRy00
1,19,BUF,Shaq Lawson,DE,22,2023,LawsSh00
1,20,NYJ,Darron Lee,OLB,21,2020,LeexDa00
1,21,HOU,Will Fuller,WR,22,2021,FullWi01
1,22,WAS,Josh Doctson,WR,23,2019,DoctJo00
1,23,MIN,Laquon Treadwell,WR,21,2023,TreaLa00
1,24,CIN,William Jackson III,CB,23,2022,JackWi02
1,25,PIT,Artie Burns,CB,21,2023,BurnAr00
1,26,DEN,Paxton Lynch,QB,22,2017,LyncPa00
1,27,GNB,Kenny Clark,DT,20,2023,ClarKe01
1,28,SFO,Joshua Garnett,G,22,2020,GarnJo00
1,29,ARI,Robert Nkemdiche,DT,21,2021,NkemRo00
1,30,CAR,Vernon Butler,DT,22,2022,ButlVe00
1,31,SEA,Germain Ifedi,G,22,2022,IfedGe00
2,32,CLE,Emmanuel Ogbah,DE,22,2023,OgbaEm00
2,33,TEN,Kevin Dodd,DE,24,2017,DoddKe00
2,34,DAL,Jaylon Smith,OLB,21,2022,SmitJa05
2,35,SDG,Hunter Henry,TE,21,2023,HenrHu00
2,36,JAX,Myles Jack,OLB,21,2022,JackMy00
2,37,KAN,Chris Jones,DT,22,2023,JoneCh09
2,38,MIA,Xavien Howard,CB,23,2023,HowaXa00
2,39,TAM,Noah Spence,DE,22,2021,SpenNo00
2,40,NYG,Sterling Shepard,WR,23,2023,ShepSt00
2,41,BUF,Reggie Ragland,ILB,22,2022,RaglRe00
2,42,BAL,Kamalei Correa,DE,22,2020,CorrKa00
2,43,TEN,Austin Johnson,NT,22,2023,JohnAu01
2,44,OAK,Jihad Ward,DE,22,2023,WardJi02
2,45,TEN,Derrick Henry,RB,22,2023,HenrDe00
2,46,DET,A'Shawn Robinson,DT,21,2023,RobiAS00
2,47,NOR,Michael Thomas,WR,23,2023,ThomMi05
2,48,GNB,Jason Spriggs,T,22,2021,SpriJa00
2,49,SEA,Jarran Reed,DT,23,2023,ReedJa02
2,50,HOU,Nick Martin,G,23,2022,MartNi00
2,51,NYJ,Christian Hackenberg,QB,21,,HackCh01
2,52,ATL,Deion Jones,OLB,21,2023,JoneDe01
2,53,WAS,Su'a Cravens,OLB,21,2018,CravSu00
2,54,MIN,Mackensie Alexander,CB,22,2022,AlexMa01
2,55,CIN,Tyler Boyd,WR,21,2023,BoydTy00
2,56,CHI,Cody Whitehair,G,24,2023,WhitCo03
2,57,IND,T.J. Green,S,21,2021,GreeT.00
2,58,PIT,Sean Davis,CB,22,2021,DaviSe00
2,59,TAM,Roberto Aguayo,K,22,2016,AguaRo00
2,60,NWE,Cyrus Jones,CB,22,2019,JoneCy00
2,61,NOR,Vonn Bell,S,21,2023,BellVo00
2,62,CAR,James Bradberry,CB,23,2023,BradJa00
2,63,DEN,Adam Gotsis,DT,23,2023,GotsAd00
3,64,TEN,Kevin Byard,S,23,2023,ByarKe01
3,65,CLE,Carl Nassib,DE,23,2022,NassCa00
3,66,SDG,Max Tuerk,C,22,2017,TuerMa00
3,67,DAL,Maliek Collins,DT,21,2023,CollMa00
3,68,SFO,Will Redmond,CB,22,2022,RedmWi00
3,69,JAX,Yannick Ngakoue,DE,21,2023,NgakYa00
3,70,BAL,Bronson Kaufusi,DE,25,2019,KaufBr01
3,71,NYG,Darian Thompson,S,22,2021,ThomDa05
