"round.x","pick.x","timestamp","team","playerid","full_name","name","associated_round","associated_pick","associated_team","count_text","mean_sentiment","Count","Proportion","Mean","total_value_delta","row_count","pick.y","round.y","Direct_mentions","Indirect_mentions","avg_sentiment_direct_mentions","avg_sentiment_indirect_mentions","Direct_mention_binary","ID","player_id","position","player_game_count","percentage_games_played","grades_offense","raw_usage","usage_rate","raw_value_provided","year","draft_year","draft_team","draft_round","draft_pick","sum_raw_value_provided","expected_value","value_delta","team_name"
1,1,1587687900,"CIN","BurrJo01","Joe Burrow","J.Burrow",1,1,"CIN",3259,0.0404596219398822,6597,0.017716155,0.145045598,285.420521228312,292,1,1,463,2796,0.0925445652173913,0.0318007589447055,1,123,28022,"QB",10,0.63,75.1,472,47.2,46.94,2020,2020,"CIN",1,1,218.71,160.5873333,58.12266667,"CIN"
1,2,1587688380,"WAS","YounCh04","Chase Young","C.Young",1,2,"WAS",15533,0.0263247187357742,7335,0.019698044,0.108911643,176.091673153899,1545,2,1,369,15164,0.110240650406504,0.024261487206823,1,48,56436,"ED",15,0.94,87.2,770,51.33,81.75,2020,2020,"WAS",1,2,135.35,147.1052174,-11.75521739,"WAS"
1,3,1587688680,"DET","OkudJe00","Jeff Okudah","J.Okudah",1,3,"DET",4942,0.0662646592065107,14503,0.038947612,0.124482496,-160.354850014365,436,3,1,195,4747,0.0865619791666667,0.0654395299597713,1,120,55674,"CB",9,0.56,42.5,460,51.11,23.91,2020,2020,"DET",1,3,79.44,148.6714286,-69.23142857,"DET"
1,4,1587689280,"NYG","ThomAn02","Andrew Thomas","A.Thomas",1,4,"NYG",4268,0.0628075889700683,12490,0.033541727,0.126600401,-67.1940311004784,396,4,1,219,4049,0.221470642201835,0.0542141614906832,1,10,59701,"OL",16,1,62.4,978,61.13,62.4,2020,2020,"NYG",1,4,206.6,161.5617857,45.03821429,"NYG"
1,5,1587689700,"MIA","TagoTu00","Tua Tagovailoa","T.Tagovailoa",1,5,"MIA",4223,0.070613193617528,14079,0.037808965,0.123932132,-361.1980028972,391,5,1,686,3537,0.101387555555556,0.0647185584562997,1,230,60326,"QB",10,0.63,65.4,347,34.7,40.88,2020,2020,"MIA",1,5,155.74,160.5873333,-4.847333333,"MIA"
1,6,1587690120,"LAC","HerbJu00","Justin Herbert","J.Herbert",1,6,"LAC",4667,0.0868253399525146,7817,0.020992448,0.13591072,-16.1283021189337,485,6,1,430,4237,0.148356775700935,0.0805624494649227,1,151,28237,"QB",15,0.94,79.9,689,45.93,74.91,2020,2020,"LAC",1,6,243.51,160.5873333,82.92266667,"LAC"
1,7,1587690600,"CAR","BrowDe05","Derrick Brown","D.Brown",1,7,"CAR",3013,0.0831667,6452,0.017326759,0.12620506,-12.5775090935896,315,7,1,162,2851,0.147845962732919,0.079498731947869,1,77,43883,"DI",16,1,61,742,46.38,61,2020,2020,"CAR",1,7,206.01,168.1171429,37.89285714,"CAR"
1,8,1587690900,"ARI","SimmIs00","Isaiah Simmons","I.Simmons",1,8,"ARI",4716,0.0866588511637839,5532,0.014856112,0.138027594,-17.0626369047619,512,8,1,452,4264,0.11825548098434,0.0833246458923513,1,97,42451,"CB",17,1,67.9,897,52.76,67.9,2022,2020,"ARI",1,8,178.8,148.6714286,30.12857143,"ARI"
1,9,1587691380,"JAX","HendCJ00","C.J. Henderson","C.Henderson",1,9,"JAX",2470,0.0486362336601307,6713,0.018027671,0.117975776,-74.4143932140196,259,9,1,97,2373,0.0776010526315789,0.0474668083297918,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,1587691620,"CLE","WillJe04","Jedrick Wills Jr.","J.Jr.",1,10,"CLE",4691,0.0854094809094809,12133,0.032583008,0.112528068,NA,449,10,1,177,4514,0.150345142857143,0.0828768887898373,1,118,58467,"OL",15,0.94,61.5,957,63.8,57.66,2020,2020,"CLV",1,10,171.11,161.5617857,9.548214286,"CLV"
1,11,1587692100,"NYJ","BectMe00","Mekhi Becton","M.Becton",1,11,"NYJ",3320,0.0617392109256449,14679,0.039420257,0.113141363,-396.429360420281,375,11,1,216,3104,0.0700577464788732,0.061164308890331,1,191,59818,"OL",14,0.88,74.4,691,49.36,65.1,2020,2020,"NYJ",1,11,69.06,161.5617857,-92.50178571,"NYJ"
1,12,1587692400,"LV","RuggHe00","Henry Ruggs III","H.III",1,12,"LV",6393,0.0686939322301025,11083,0.029763248,0.107186085,-175.015906641604,667,12,1,452,5941,0.142508203991131,0.0630457753647777,1,93,61102,"WR",13,0.81,54,366,28.15,43.88,2020,2020,"LV",1,12,74.1,143.7833333,-69.68333333,"LV"
1,13,1587693000,"TB","WirfTr00","Tristan Wirfs","T.Wirfs",1,13,"TB",4954,0.093290197274761,5184,0.013921562,0.114079188,-127.933923367912,431,13,1,283,4671,0.0595230496453901,0.0953446386192017,1,227,64818,"OL",16,1,81.8,1073,67.06,81.8,2020,2020,"TB",1,13,230.48,161.5617857,68.91821429,"TB"
1,14,1587693540,"SF","KinlJa00","Javon Kinlaw","J.Kinlaw",1,14,"SF",3416,0.0545201176470588,16341,0.043883536,0.113882776,55.8473650793651,403,14,1,164,3252,0.112098148148148,0.0516394379246448,1,115,56834,"DI",14,0.88,54.1,547,39.07,47.34,2020,2020,"SF",1,14,74.55,168.1171429,-93.56714286,"SF"
1,15,1587693840,"DEN","JeudJe00","Jerry Jeudy","J.Jeudy",1,15,"DEN",5456,0.0834377830970355,10740,0.028842126,0.129802805,-187.268660664202,581,15,1,423,5033,0.112103562945368,0.0810289421157685,1,122,61103,"WR",16,1,65.2,545,34.06,65.2,2020,2020,"DEN",1,15,174.79,143.7833333,31.00666667,"DEN"
1,16,1587694380,"ATL","TerrAJ00","AJ Terrell","A.Terrell",1,16,"ATL",3341,0.0834040988547318,7940,0.021322763,0.078852919,-105.564194139194,341,16,1,70,3271,0.137586956521739,0.0822534010464758,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,17,1587694740,"DAL","LambCe00","CeeDee Lamb","C.Lamb",1,17,"DAL",5835,0.0297272397721388,13812,0.03709194,0.111480222,34.4176474358975,753,17,1,485,5350,0.0306720833333333,0.0296418784114436,1,42,61570,"WR",16,1,71.6,539,33.69,71.6,2020,2020,"DAL",1,17,237.24,143.7833333,93.45666667,"DAL"
1,18,1587695280,"MIA","JackAu00","Austin Jackson","A.Jackson",1,18,"MIA",2720,0.0937778108711839,14079,0.037808965,0.123932132,-361.1980028972,284,18,1,95,2625,0.173051086956522,0.090966268311488,1,19,60816,"OL",13,0.81,52.5,848,65.23,42.66,2020,2020,"MIA",1,18,96.43,161.5617857,-65.13178571,"MIA"
1,19,1587695580,"LV","ArneDa00","Damon Arnette","D.Arnette",1,19,"LV",4580,0.0927793406593407,11083,0.029763248,0.107186085,-175.015906641604,402,19,1,87,4493,0.195081176470588,0.0908318253079507,1,63,28080,"CB",9,0.56,41.7,343,38.11,23.46,2020,2020,"LV",1,19,31.2,148.6714286,-117.4714286,"LV"
