round.x,pick.x,timestamp,team,playerid,full_name,name,associated_round,associated_pick,associated_team,count_text,mean_sentiment,comment_count,Team_Sentiment_Comment_Proportion,Team_Sentiment_Mean,offensive_word_count,pick.y,round.y,Direct_mentions,Indirect_mentions,avg_sentiment_direct_mentions,avg_sentiment_indirect_mentions,Direct_mention_binary
1,1,1587687900,CIN,BurrJo01,Joe Burrow,J.Burrow,1,1,CIN,3259,0.040459622,6597,0.017716155,0.145045598,292,1,1,463,2796,0.092544565,0.031800759,1
1,2,1587688380,WAS,YounCh04,Chase Young,C.Young,1,2,WAS,15533,0.026324719,7335,0.019698044,0.108911643,1545,2,1,369,15164,0.11024065,0.024261487,1
1,3,1587688680,DET,OkudJe00,Jeff Okudah,J.Okudah,1,3,DET,4942,0.066264659,14503,0.038947612,0.124482496,436,3,1,195,4747,0.086561979,0.06543953,1
1,4,1587689280,NYG,ThomAn02,Andrew Thomas,A.Thomas,1,4,NYG,4268,0.062807589,12490,0.033541727,0.126600401,396,4,1,219,4049,0.221470642,0.054214161,1
1,5,1587689700,MIA,TagoTu00,Tua Tagovailoa,T.Tagovailoa,1,5,MIA,4223,0.070613194,14079,0.037808965,0.123932132,391,5,1,686,3537,0.101387556,0.064718558,1
1,6,1587690120,LAC,HerbJu00,Justin Herbert,J.Herbert,1,6,LAC,4667,0.08682534,7817,0.020992448,0.13591072,485,6,1,430,4237,0.148356776,0.080562449,1
1,7,1587690600,CAR,BrowDe05,Derrick Brown,D.Brown,1,7,CAR,3013,0.0831667,6452,0.017326759,0.12620506,315,7,1,162,2851,0.147845963,0.079498732,1
1,8,1587690900,ARI,SimmIs00,Isaiah Simmons,I.Simmons,1,8,ARI,4716,0.086658851,5532,0.014856112,0.138027594,512,8,1,452,4264,0.118255481,0.083324646,1
1,9,1587691380,JAX,HendCJ00,C.J. Henderson,C.Henderson,1,9,JAX,2470,0.048636234,6713,0.018027671,0.117975776,259,9,1,97,2373,0.077601053,0.047466808,1
1,10,1587691620,CLE,WillJe04,Jedrick Wills Jr.,J.Jr.,1,10,CLE,4691,0.085409481,12133,0.032583008,0.112528068,449,10,1,177,4514,0.150345143,0.082876889,1
1,11,1587692100,NYJ,BectMe00,Mekhi Becton,M.Becton,1,11,NYJ,3320,0.061739211,14679,0.039420257,0.113141363,375,11,1,216,3104,0.070057746,0.061164309,1
1,12,1587692400,LV,RuggHe00,Henry Ruggs III,H.III,1,12,LV,6393,0.068693932,11083,0.029763248,0.107186085,667,12,1,452,5941,0.142508204,0.063045775,1
1,13,1587693000,TB,WirfTr00,Tristan Wirfs,T.Wirfs,1,13,TB,4954,0.093290197,5184,0.013921562,0.114079188,431,13,1,283,4671,0.05952305,0.095344639,1
1,14,1587693540,SF,KinlJa00,Javon Kinlaw,J.Kinlaw,1,14,SF,3416,0.054520118,16341,0.043883536,0.113882776,403,14,1,164,3252,0.112098148,0.051639438,1
1,15,1587693840,DEN,JeudJe00,Jerry Jeudy,J.Jeudy,1,15,DEN,5456,0.083437783,10740,0.028842126,0.129802805,581,15,1,423,5033,0.112103563,0.081028942,1
1,16,1587694380,ATL,TerrAJ00,AJ Terrell,A.Terrell,1,16,ATL,3341,0.083404099,7940,0.021322763,0.078852919,341,16,1,70,3271,0.137586957,0.082253401,1
1,17,1587694740,DAL,LambCe00,CeeDee Lamb,C.Lamb,1,17,DAL,5835,0.02972724,13812,0.03709194,0.111480222,753,17,1,485,5350,0.030672083,0.029641878,1
1,18,1587695280,MIA,JackAu00,Austin Jackson,A.Jackson,1,18,MIA,2720,0.093777811,14079,0.037808965,0.123932132,284,18,1,95,2625,0.173051087,0.090966268,1
1,19,1587695580,LV,ArneDa00,Damon Arnette,D.Arnette,1,19,LV,4580,0.092779341,11083,0.029763248,0.107186085,402,19,1,87,4493,0.195081176,0.090831825,1
1,20,1587696060,JAX,ChaiKL00,K'Lavon Chaisson,K.Chaisson,1,20,JAX,2824,0.111454646,6713,0.018027671,0.117975776,271,20,1,61,2763,0.065494828,0.112427518,1
1,21,1587696420,PHI,ReagJa00,Jalen Reagor,J.Reagor,1,21,PHI,4633,0.093853219,35223,0.094590893,0.058375155,467,21,1,252,4381,0.175307171,0.089149988,1
1,22,1587696900,MIN,JeffJu00,Justin Jefferson,J.Jefferson,1,22,MIN,3013,0.085388338,21534,0.057829268,0.114465213,324,22,1,152,2861,0.121018667,0.08350247,1
1,23,1587697200,LAC,MurrKe00,Kenneth Murray,K.Murray,1,23,LAC,4815,0.111254046,7817,0.020992448,0.13591072,483,23,1,178,4637,0.140204571,0.110151469,1
1,24,1587697740,NO,RuizCe00,Cesar Ruiz,C.Ruiz,1,24,NO,3141,0.076208974,6684,0.017949792,0.102622322,339,24,1,122,3019,0.074655738,0.076272181,1
1,25,1587698100,SF,AiyuBr00,Brandon Aiyuk,B.Aiyuk,1,25,SF,5075,0.098733121,16341,0.043883536,0.113882776,472,25,1,144,4931,0.172192908,0.096614522,1
1,26,1587698640,GB,LoveJo03,Jordan Love,J.Love,1,26,GB,6885,0.059472831,33965,0.091212551,0.104027848,838,26,1,610,6275,0.482484983,0.018319297,1
1,27,1587699240,SEA,BrooJo01,Jordyn Brooks,J.Brooks,1,27,SEA,4481,0.100938475,13602,0.036527988,0.106199573,462,27,1,58,4423,0.127491071,0.100599841,1
1,28,1587699720,BAL,QueePa00,Patrick Queen,P.Queen,1,28,BAL,3303,0.108882907,12762,0.034272179,0.109538109,368,28,1,196,3107,0.108822564,0.108886718,1
1,29,1587700080,TEN,WilsIs00,Isaiah Wilson,I.Wilson,1,29,TEN,4927,0.105002651,4841,0.01300044,0.108463721,563,29,1,69,4858,0.116262687,0.104845447,1
1,30,1587700680,MIA,IgbiNo00,Noah Igbinoghene,N.Igbinoghene,1,30,MIA,35196,0.160622032,14079,0.037808965,0.123932132,3677,30,1,101,35095,0.217729293,0.160458958,1
1,31,1587614520,MIN,GladJe00,Jeff Gladney,J.Gladney,1,31,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
