"player","player_id","position","player_game_count","percentage_games_played","grades_offense","raw_usage","usage_rate","raw_value_provided","year","draft_year","draft_team","draft_round","draft_pick","sum_raw_value_provided","expected_value","value_delta","team_name"
"A.J. Epenesa",56369,"ED",14,0.88,64.7,291,20.79,56.61,2020,2020,"BUF",2,54,158.77,119.853684210526,38.9163157894737,"BUF"
"Adam Trautman",109795,"TE",15,0.94,79.4,172,11.47,74.44,2020,2020,"NO",3,105,181.24,134.018571428571,47.2214285714286,"NO"
"AJ Dillon",57165,"HB",9,0.56,81.4,48,5.33,45.79,2020,2020,"GB",2,62,213.89,156.463333333333,57.4266666666667,"GB"
"Akeem Davis-Gaither",34788,"LB",16,1,40.7,314,19.63,40.7,2020,2020,"CIN",4,107,129.79,124.31,5.48000000000002,"CIN"
"Albert Okwuegbunam",41933,"TE",4,0.25,83.2,62,15.5,20.8,2020,2020,"DEN",4,118,99.03,123.521538461538,-24.4915384615385,"DEN"
"Alex Highsmith",43507,"ED",16,1,72,440,27.5,72,2020,2020,"PIT",3,102,213.25,117.721923076923,95.5280769230769,"PIT"
"Alohi Gilman",41662,"S",4,0.25,47.5,71,17.75,11.88,2020,2020,"LAC",6,186,104.23,72.1061904761905,32.1238095238095,"LAC"
"Alton Robinson",56857,"ED",14,0.88,66.7,336,24,58.36,2020,2020,"SEA",5,148,107.11,72.9830769230769,34.1269230769231,"SEA"
"Amik Robertson",55619,"CB",6,0.38,42.2,35,5.83,15.83,2020,2020,"LV",4,139,93.06,82.3886666666667,10.6713333333333,"LV"
"Andrew Thomas",59701,"OL",16,1,62.4,978,61.13,62.4,2020,2020,"NYG",1,4,206.6,161.561785714286,45.0382142857143,"NYG"
"Anfernee Jennings",25449,"ED",16,0.94,64.7,344,21.5,60.89,2022,2020,"NE",3,87,105.25,117.721923076923,-12.4719230769231,"NE"
"Anthony McFarland Jr.",57289,"HB",11,0.69,56.5,39,3.55,38.84,2020,2020,"PIT",4,124,49.05,133.245263157895,-84.1952631578947,"PIT"
"Antoine Brooks Jr.",49751,"CB",2,0.13,64.5,29,14.5,8.06,2020,2020,"PIT",6,198,8.06,49.1672727272727,-41.1072727272727,"PIT"
"Antoine Winfield Jr.",42475,"S",16,1,67.1,1034,64.63,67.1,2020,2020,"TB",2,45,192.43,125.228636363636,67.2013636363636,"TB"
"Antonio Gandy-Golden",39993,"WR",6,0.38,44.6,88,14.67,16.73,2020,2020,"WAS",4,142,16.73,88.7952173913043,-72.0652173913043,"WAS"
"Antonio Gibson",78050,"HB",14,0.88,80.9,206,14.71,70.79,2020,2020,"WAS",3,66,197.69,149.23875,48.45125,"WAS"
"Arlington Hambright",60003,"OL",2,0.13,51.6,82,41,6.45,2020,2020,"CHI",7,226,6.45,55.7338888888889,-49.2838888888889,"CHI"
"Ashtyn Davis",49560,"S",8,0.5,53,402,50.25,26.5,2020,2020,"NYJ",3,68,90.67,132.52,-41.85,"NYJ"
"Austin Jackson",60816,"OL",13,0.81,52.5,848,65.23,42.66,2020,2020,"MIA",1,18,96.43,161.561785714286,-65.1317857142857,"MIA"
"Ben Bartch",84236,"OL",5,0.31,58.5,219,43.8,18.28,2020,2020,"JAX",4,116,87.21,71.4645833333333,15.7454166666667,"JAX"
"Ben Bredeson",27305,"OL",5,0.31,47.4,48,9.6,14.81,2020,2020,"BAL",4,143,74.64,71.4645833333333,3.17541666666668,"BAL"
"Ben DiNucci",34311,"QB",2,0.13,25.6,52,26,3.2,2020,2020,"DAL",7,231,3.2,47.22,-44.02,"DAL"
"Blake Brandel",46282,"OL",11,0.65,53.3,65,5.91,34.49,2021,2020,"MIN",6,203,54.01,53.2691304347826,0.740869565217395,"MIN"
"Braden Mann",44664,"P",16,1,64.4,82,5.13,64.4,2020,2020,"NYJ",6,191,174.79,121.71,53.08,"NYJ"
"Bradlee Anae",43982,"ED",3,0.19,85.2,6,2,15.98,2020,2020,"DAL",5,179,23.96,72.9830769230769,-49.0230769230769,"DAL"
"Brandon Aiyuk",84109,"WR",12,0.75,80.1,455,37.92,60.08,2020,2020,"SF",1,25,214.78,143.783333333333,70.9966666666667,"SF"
"Brandon Jones",43049,"S",16,1,60.8,385,24.06,60.8,2020,2020,"MIA",3,70,133.08,132.52,0.559999999999974,"MIA"
"Bravvion Roy",25644,"DI",15,0.94,43.9,419,27.93,41.16,2020,2020,"CAR",6,184,130.05,94.0264705882353,36.0235294117647,"CAR"
"Gabe Davis",55410,"WR",16,1,64.9,508,31.75,64.9,2020,2020,"BUF",4,128,190.91,88.7952173913043,102.114782608696,"BUF"
"Bryan Edwards",28486,"WR",11,0.69,69.5,143,13,47.78,2020,2020,"LV",3,81,128.71,133.187894736842,-4.4778947368421,"LV"
"Bryce Hall",42313,"CB",8,0.5,59.9,547,68.38,29.95,2020,2020,"NYJ",5,158,98.07,66.1504761904762,31.9195238095238,"NYJ"
"Lynn Bowden",61361,"WR",10,0.63,68.8,221,22.1,43,2020,2020,"LV",3,80,43,133.187894736842,-90.1878947368421,"MIA"
"Brycen Hopkins",47338,"TE",3,0.18,52.4,19,6.33,9.25,2021,2020,"LAR",4,136,57.89,123.521538461538,-65.6315384615385,"LAR"
"Cam Akers",57206,"HB",13,0.81,68.4,156,12,55.58,2020,2020,"LAR",2,52,129.8,156.463333333333,-26.6633333333334,"LAR"
"Cam Brown",42516,"ED",11,0.69,45.9,94,8.55,31.56,2020,2020,"NYG",6,183,44.33,73.076,-28.746,"NYG"
"Cameron Dantzler",42472,"CB",11,0.69,70.9,601,54.64,48.74,2020,2020,"MIN",3,89,142.3,103.0045,39.2955,"MIN"
"Carlos Davis",48662,"DI",7,0.44,60.2,54,7.71,26.34,2020,2020,"PIT",7,232,42.81,60.8544444444444,-18.0444444444444,"PIT"
"Carter Coughlin",43498,"ED",10,0.63,42.7,193,19.3,26.69,2020,2020,"NYG",7,218,45.74,58.337,-12.597,"NYG"
"Casey Toohill",38472,"ED",7,0.44,69.3,51,7.29,30.32,2020,2020,"PHI",7,233,137.61,58.337,79.273,"WAS"
"James Proche II",48037,"WR",8,0.5,61.4,14,1.75,30.7,2020,2020,"BAL",6,201,122.6,67.7133333333333,54.8866666666667,"BAL"
"Cassh Maluia",43524,"LB",2,0.13,42.2,11,5.5,5.28,2020,2020,"NE",6,204,5.28,61.961875,-56.681875,"NE"
"CeeDee Lamb",61570,"WR",16,1,71.6,539,33.69,71.6,2020,2020,"DAL",1,17,237.24,143.783333333333,93.4566666666667,"DAL"
"Cesar Ruiz",59857,"OL",14,0.88,58.6,744,53.14,51.28,2020,2020,"NO",1,24,155.49,161.561785714286,-6.07178571428571,"NO"
"Chapelle Russell",38876,"LB",2,0.13,29.2,4,2,3.65,2020,2020,"TB",7,241,21.44,47.888947368421,-26.4489473684211,"TB"
"Charlie Heck",36501,"OL",3,0.19,58.6,103,34.33,10.99,2020,2020,"HOU",4,126,106.27,71.4645833333333,34.8054166666667,"HOU"
"Charlie Woerner",42257,"TE",9,0.56,56.3,38,4.22,31.67,2020,2020,"SF",6,190,131.39,91.7177777777778,39.6722222222222,"SF"
"Chase Claypool",42312,"WR",16,1,75.6,474,29.63,75.6,2020,2020,"PIT",2,49,189.87,162.511578947368,27.3584210526316,"PIT"
"Chase Young",56436,"ED",15,0.94,87.2,770,51.33,81.75,2020,2020,"WAS",1,2,135.35,147.105217391304,-11.7552173913043,"WAS"
"Chris Claybrooks",76692,"CB",12,0.75,54.4,375,31.25,40.8,2020,2020,"JAX",7,223,81.45,65.7821428571429,15.6678571428571,"JAX"
"Chris Jackson",42512,"CB",9,0.56,32.5,241,26.78,18.28,2020,2020,"TEN",7,243,56.97,65.7821428571429,-8.81214285714285,"TEN"
"Chris Williamson",49490,"CB",4,0.24,50.5,55,13.75,11.88,2021,2020,"NYG",7,247,11.88,65.7821428571429,-53.9021428571429,"ATL"
"Clay Johnston",25685,"LB",1,0.06,67.2,3,3,4.2,2020,2020,"LAR",7,234,29.68,47.888947368421,-18.208947368421,"CAR"
"Clyde Edwards-Helaire",57279,"HB",13,0.81,75.3,217,16.69,61.18,2020,2020,"KC",1,32,138.76,173.771428571429,-35.0114285714286,"KC"
"Colby Parkinson",52266,"TE",5,0.31,68.4,24,4.8,21.38,2020,2020,"SEA",4,133,131.03,123.521538461538,7.50846153846155,"SEA"
"Cole Kmet",60995,"TE",16,1,58.7,326,20.38,58.7,2020,2020,"CHI",2,43,189.7,152.885,36.815,"CHI"
"Collin Johnson",47808,"WR",14,0.88,73.4,180,12.86,64.23,2020,2020,"JAX",5,165,108.21,122.469333333333,-14.2593333333333,"JAX"
"Colton McKivitz",29314,"OL",9,0.56,53.1,301,33.44,29.87,2020,2020,"SF",5,153,57.59,75.922380952381,-18.3323809523809,"SF"
"Curtis Weaver",43751,"ED",1,0.06,76.3,6,6,4.49,2021,2020,"MIA",5,164,4.49,72.9830769230769,-68.4930769230769,"CLV"
"D.J. Wonnum",44550,"ED",14,0.88,51.1,471,33.64,44.71,2020,2020,"MIN",4,117,149.8,112.83125,36.96875,"MIN"
"D'Andre Swift",57212,"HB",13,0.81,69.4,160,12.31,56.39,2020,2020,"DET",2,35,165.06,156.463333333333,8.59666666666666,"DET"
"Dalton Keene",61068,"TE",6,0.38,42.2,89,14.83,15.83,2020,2020,"NE",3,101,15.83,134.018571428571,-118.188571428571,"NE"
"Damien Lewis",81532,"OL",16,1,70.2,967,60.44,70.2,2020,2020,"SEA",3,69,181.44,101.723333333333,79.7166666666667,"SEA"
"Damon Arnette",28080,"CB",9,0.56,41.7,343,38.11,23.46,2020,2020,"LV",1,19,31.2,148.671428571429,-117.471428571429,"LV"
"Dane Jackson",32989,"CB",4,0.25,68.4,193,48.25,17.1,2020,2020,"BUF",7,239,112.58,65.7821428571429,46.7978571428572,"BUF"
"Daniel Thomas",42544,"S",6,0.38,52.3,162,27,19.61,2020,2020,"JAX",5,157,50.69,67.2618181818182,-16.5718181818182,"JAX"
"Danny Pinter",47339,"OL",9,0.56,58,103,11.44,32.63,2020,2020,"IND",5,149,117.78,75.922380952381,41.8576190476191,"IND"
"Darnay Holmes",56247,"CB",12,0.75,48.1,442,36.83,36.08,2020,2020,"NYG",4,110,110.75,82.3886666666667,28.3613333333333,"NYG"
"Darnell Mooney",48236,"WR",16,1,68.7,537,33.56,68.7,2020,2020,"CHI",5,173,192.25,122.469333333333,69.7806666666667,"CHI"
"Darrell Taylor",36001,"ED",16,0.94,57.6,545,34.06,54.21,2021,2020,"SEA",2,48,108.8,119.853684210526,-11.0536842105263,"SEA"
"Darrynton Evans",40692,"HB",5,0.31,57.8,16,3.2,18.06,2020,2020,"TEN",3,93,34.39,149.23875,-114.84875,"TEN"
"Davion Taylor",81991,"LB",4,0.25,27.4,33,8.25,6.85,2020,2020,"PHI",3,103,27.29,105.269411764706,-77.9794117647059,"PHI"
"DaVon Hamilton",28072,"DI",11,0.69,53.9,408,37.09,37.06,2020,2020,"JAX",3,73,161.65,118.013846153846,43.6361538461539,"JAX"
"Mike Onwenu",27357,"OL",16,1,84.3,927,57.94,84.3,2020,2020,"NE",6,182,245.48,53.2691304347826,192.210869565217,"NE"
"DeeJay Dallas",55632,"HB",8,0.5,72.1,51,6.38,36.05,2020,2020,"SEA",4,144,142.53,133.245263157895,9.28473684210527,"SEA"
"Denzel Mims",47800,"WR",9,0.56,69.4,264,29.33,39.04,2020,2020,"NYJ",2,59,105.73,162.511578947368,-56.7815789473684,"NYJ"
"Derrek Tuszka",37724,"ED",6,0.38,49.2,27,4.5,18.45,2020,2020,"DEN",7,254,105.19,58.337,46.853,"DEN"
"Derrick Brown",43883,"DI",16,1,61,742,46.38,61,2020,2020,"CAR",1,7,206.01,168.117142857143,37.8928571428571,"CAR"
"Devin Asiasi",40294,"TE",9,0.56,51.6,109,12.11,29.03,2020,2020,"NE",3,91,50.49,134.018571428571,-83.5285714285714,"NE"
"Devin Duvernay",40006,"WR",16,1,60.5,202,12.63,60.5,2020,2020,"BAL",3,92,168.26,133.187894736842,35.0721052631579,"BAL"
"Jon Runyan",36661,"OL",8,0.5,53.8,160,20,26.9,2020,2020,"GB",6,192,150.77,53.2691304347826,97.5008695652174,"GB"
"Dezmon Patmon",48329,"WR",7,0.41,65.2,29,4.14,26.85,2021,2020,"IND",6,212,30.11,67.7133333333333,-37.6033333333333,"IND"
"Donovan Peoples-Jones",61439,"WR",11,0.69,71.8,138,12.55,49.36,2020,2020,"CLV",6,187,168.37,67.7133333333333,100.656666666667,"CLV"
"Josh Jones",26634,"OL",9,0.56,43,54,6,24.19,2020,2020,"ARI",3,72,126.1,101.723333333333,24.3766666666667,"ARI"
"Eno Benjamin",57136,"HB",8,0.47,62.7,40,5,29.51,2021,2020,"ARI",7,222,88.97,56.798,32.172,"ARI"
"Tremayne Anchrum Jr.",41813,"OL",1,0.06,61.1,3,3,3.82,2020,2020,"LAR",7,250,7.35,55.7338888888889,-48.3838888888889,"LAR"
"Ezra Cleveland",41973,"OL",9,0.56,66.2,622,69.11,37.24,2020,2020,"MIN",2,58,179.34,149.015925925926,30.3240740740741,"MIN"
"Freddie Swain",26448,"WR",16,1,53.4,241,15.06,53.4,2020,2020,"SEA",6,214,118.24,67.7133333333333,50.5266666666667,"SEA"
"Geno Stone",55967,"S",1,0.06,60,2,2,3.75,2020,2020,"BAL",7,219,98.67,72.0883333333333,26.5816666666667,"HOU"
"Grant Delpit",60685,"S",15,0.88,63.3,599,39.93,55.85,2021,2020,"CLV",2,44,119.45,125.228636363636,-5.77863636363637,"CLV"
"Hakeem Adeniji",45419,"OL",9,0.56,51.6,233,25.89,29.03,2020,2020,"CIN",6,180,95.97,53.2691304347826,42.7008695652174,"CIN"
"Harrison Bryant",26394,"TE",15,0.94,60.7,294,19.6,56.91,2020,2020,"CLV",4,115,177.2,123.521538461538,53.6784615384615,"CLV"
"Harrison Hand",55576,"CB",6,0.38,65.8,163,27.17,24.68,2020,2020,"MIN",5,169,44.9,66.1504761904762,-21.2504761904762,"MIN"
"Henry Ruggs III",61102,"WR",13,0.81,54,366,28.15,43.88,2020,2020,"LV",1,12,74.1,143.783333333333,-69.6833333333333,"LV"
"Isaiah Coulter",55307,"WR",1,0.06,52.3,13,13,3.08,2021,2020,"HOU",5,171,3.08,122.469333333333,-119.389333333333,"CHI"
"Isaiah Hodgins",52130,"WR",10,0.59,76.6,277,27.7,45.06,2022,2020,"BUF",6,207,45.06,67.7133333333333,-22.6533333333333,"NYG"
"Isaiah Rodgers",27069,"CB",5,0.31,73.9,51,10.2,23.09,2020,2020,"IND",6,211,156.57,49.1672727272727,107.402727272727,"IND"
"Isaiah Simmons",42451,"CB",17,1,67.9,897,52.76,67.9,2022,2020,"ARI",1,8,178.8,148.671428571429,30.1285714285714,"ARI"
"Isaiah Wilson",59704,"OL",1,0.06,60,3,3,3.75,2020,2020,"TEN",1,29,3.75,161.561785714286,-157.811785714286,"TEN"
"J.K. Dobbins",57366,"HB",15,0.94,71.5,152,10.13,67.03,2020,2020,"BAL",2,55,102.89,156.463333333333,-53.5733333333333,"BAL"
"Jabari Zuniga",26449,"ED",8,0.5,33,103,12.88,16.5,2020,2020,"NYJ",3,79,29.08,117.721923076923,-88.6419230769231,"NYJ"
"Jack Driscoll",27064,"OL",10,0.63,57.4,300,30,35.88,2020,2020,"PHI",4,145,105.23,71.4645833333333,33.7654166666667,"PHI"
"Jacob Eason",46444,"QB",1,0.06,29.6,5,5,1.74,2021,2020,"IND",4,122,3.46,39.35375,-35.89375,"SEA"
"Jacob Phillips",57942,"LB",9,0.56,45.3,169,18.78,25.48,2020,2020,"CLV",3,97,55.27,105.269411764706,-49.9994117647059,"CLV"
"Jake Fromm",60389,"QB",3,0.18,38.5,73,24.33,6.79,2021,2020,"BUF",5,167,6.79,24.465,-17.675,"NYG"
"Jake Hanson",28148,"OL",2,0.12,62.8,6,3,7.39,2021,2020,"GB",6,208,15.72,53.2691304347826,-37.5491304347826,"GB"
"Jake Luton",17287,"QB",3,0.19,39.8,123,41,7.46,2020,2020,"JAX",6,189,7.46,10.678,-3.218,"JAX"
