player,player_id,position,player_game_count,percentage_games_played,grades_offense,raw_usage,usage_rate,raw_value_provided,year,draft_year,draft_team,draft_round,draft_pick,sum_raw_value_provided,expected_value,value_delta,team_name,Best_Match,Similarity_Score,round.x,pick.x,timestamp,team,playerid,full_name,name,associated_round,associated_pick,associated_team,count_text,mean_sentiment,comment_count,Team_Sentiment_Comment_Proportion,Team_Sentiment_Mean,offensive_word_count,pick.y,round.y,Direct_mentions,Indirect_mentions,avg_sentiment_direct_mentions,avg_sentiment_indirect_mentions,Direct_mention_binary
A.J. Epenesa,56369,ED,14,0.88,64.7,291,20.79,56.61,2020,2020,BUF,2,54,158.77,119.853684210526,38.9163157894737,BUF,A.J. Epenesa,100,2,54,1587775620,BUF,EpenAJ00,A.J. Epenesa,A.Epenesa,2,54,BUF,3628.0,0.062041616,7532.0,0.020227085,0.117431424,372.0,54.0,2.0,104.0,3524.0,0.120579808,0.060301201,1.0
Adam Trautman,109795,TE,15,0.94,79.4,172,11.47,74.44,2020,2020,NO,3,105,181.24,134.018571428571,47.2214285714286,NO,Adam Trautman,100,3,105,1587786960,NO,TrauAd00,Adam Trautman,A.Trautman,3,105,NO,691.0,0.089485147,6684.0,0.017949792,0.102622322,40.0,105.0,3.0,2.0,689.0,0.0,0.089749115,1.0
AJ Dillon,57165,HB,9,0.56,81.4,48,5.33,45.79,2020,2020,GB,2,62,213.89,156.463333333333,57.4266666666667,GB,AJ Dillon,100,2,62,1587777960,GB,DillAJ00,AJ Dillon,A.Dillon,2,62,GB,3061.0,0.064482142,33965.0,0.091212551,0.104027848,334.0,62.0,2.0,73.0,2988.0,0.080617808,0.06408447,1.0
Akeem Davis-Gaither,34788,LB,16,1.0,40.7,314,19.63,40.7,2020,2020,CIN,4,107,129.79,124.31,5.48000000000002,CIN,Akeem Davis-Gaither,100,4,107,1587830940,CIN,DaviAk01,Akeem Davis-Gaither,A.Davis-Gaither,4,107,CIN,1.0,,6597.0,0.017716155,0.145045598,,107.0,4.0,0.0,1.0,0.0,0.0,0.0
Albert Okwuegbunam,41933,TE,4,0.25,83.2,62,15.5,20.8,2020,2020,DEN,4,118,99.03,123.521538461538,-24.4915384615385,DEN,Albert Okwuegbunam,100,4,118,1587832740,DEN,OkwuAl00,Albert Okwuegbunam,A.Okwuegbunam,4,118,DEN,648.0,0.134484555,10740.0,0.028842126,0.129802805,64.0,118.0,4.0,10.0,638.0,0.137133333,0.134446835,1.0
Alex Highsmith,43507,ED,16,1.0,72.0,440,27.5,72.0,2020,2020,PIT,3,102,213.25,117.721923076923,95.5280769230769,PIT,Alex Highsmith,100,3,102,1587786660,PIT,HighAl02,Alex Highsmith,A.Highsmith,3,102,PIT,263.0,0.12174636,7495.0,0.020127722,0.12302311,23.0,102.0,3.0,7.0,256.0,-0.067166667,0.126191373,1.0
Alohi Gilman,41662,S,4,0.25,47.5,71,17.75,11.88,2020,2020,LAC,6,186,104.23,72.1061904761905,32.1238095238095,LAC,Alohi Gilman,100,6,186,1587844620,LAC,GilmAl00,Alohi Gilman,A.Gilman,6,186,LAC,630.0,0.16202508,7817.0,0.020992448,0.13591072,39.0,186.0,6.0,3.0,627.0,0.0,0.162544391,1.0
Alton Robinson,56857,ED,14,0.88,66.7,336,24.0,58.36,2020,2020,SEA,5,148,107.11,72.9830769230769,34.1269230769231,SEA,Alton Robinson,100,5,148,1587838380,SEA,RobiAl03,Alton Robinson,A.Robinson,5,148,SEA,482.0,0.13126,13602.0,0.036527988,0.106199573,40.0,148.0,5.0,8.0,474.0,0.165675,0.130676695,1.0
Amik Robertson,55619,CB,6,0.38,42.2,35,5.83,15.83,2020,2020,LV,4,139,93.06,82.3886666666667,10.6713333333333,LV,Amik Robertson,100,4,139,1587836820,LV,RobeAm00,Amik Robertson,A.Robertson,4,139,LV,460.0,0.093386031,11083.0,0.029763248,0.107186085,46.0,139.0,4.0,9.0,451.0,0.070833333,0.093845249,1.0
Andrew Thomas,59701,OL,16,1.0,62.4,978,61.13,62.4,2020,2020,NYG,1,4,206.6,161.561785714286,45.0382142857143,NYG,Andrew Thomas,100,1,4,1587689280,NYG,ThomAn02,Andrew Thomas,A.Thomas,1,4,NYG,4268.0,0.062807589,12490.0,0.033541727,0.126600401,396.0,4.0,1.0,219.0,4049.0,0.221470642,0.054214161,1.0
