"round","pick","timestamp","team","playerid","full_name","name"
1,1,1587687900,"CIN","BurrJo01","Joe Burrow","J.Burrow"
1,2,1587688380,"WAS","YounCh04","Chase Young","C.Young"
1,3,1587688680,"DET","OkudJe00","Jeff Okudah","J.Okudah"
1,4,1587689280,"NYG","ThomAn02","Andrew Thomas","A.Thomas"
1,5,1587689700,"MIA","TagoTu00","Tua Tagovailoa","T.Tagovailoa"
1,6,1587690120,"LAC","HerbJu00","Justin Herbert","J.Herbert"
1,7,1587690600,"CAR","BrowDe05","Derrick Brown","D.Brown"
1,8,1587690900,"ARI","SimmIs00","Isaiah Simmons","I.Simmons"
1,9,1587691380,"JAX","HendCJ00","C.J. Henderson","C.Henderson"
1,10,1587691620,"CLE","WillJe04","Jedrick Wills Jr.","J.Jr."
1,11,1587692100,"NYJ","BectMe00","Mekhi Becton","M.Becton"
1,12,1587692400,"LV","RuggHe00","Henry Ruggs III","H.III"
1,13,1587693000,"TB","WirfTr00","Tristan Wirfs","T.Wirfs"
1,14,1587693540,"SF","KinlJa00","Javon Kinlaw","J.Kinlaw"
1,15,1587693840,"DEN","JeudJe00","Jerry Jeudy","J.Jeudy"
1,16,1587694380,"ATL","TerrAJ00","AJ Terrell","A.Terrell"
1,17,1587694740,"DAL","LambCe00","CeeDee Lamb","C.Lamb"
1,18,1587695280,"MIA","JackAu00","Austin Jackson","A.Jackson"
1,19,1587695580,"LV","ArneDa00","Damon Arnette","D.Arnette"
1,20,1587696060,"JAX","ChaiKL00","K'Lavon Chaisson","K.Chaisson"
1,21,1587696420,"PHI","ReagJa00","Jalen Reagor","J.Reagor"
1,22,1587696900,"MIN","JeffJu00","Justin Jefferson","J.Jefferson"
1,23,1587697200,"LAC","MurrKe00","Kenneth Murray","K.Murray"
1,24,1587697740,"NO","RuizCe00","Cesar Ruiz","C.Ruiz"
1,25,1587698100,"SF","AiyuBr00","Brandon Aiyuk","B.Aiyuk"
1,26,1587698640,"GB","LoveJo03","Jordan Love","J.Love"
1,27,1587699240,"SEA","BrooJo01","Jordyn Brooks","J.Brooks"
1,28,1587699720,"BAL","QueePa00","Patrick Queen","P.Queen"
1,29,1587700080,"TEN","WilsIs00","Isaiah Wilson","I.Wilson"
1,30,1587700680,"MIA","IgbiNo00","Noah Igbinoghene","N.Igbinoghene"
1,31,1587614520,"MIN","GladJe00","Jeff Gladney","J.Gladney"
1,32,1587615000,"KC","EdwaCl00","Clyde Edwards-Helaire","C.Edwards-Helaire"
2,33,1587770160,"CIN","HiggTe00","Tee Higgins","T.Higgins"
2,34,1587770340,"IND","PittMi01","Michael Pittman Jr.","M.Jr."
2,35,1587770640,"DET","SwifDA00","D'Andre Swift","D.Swift"
2,36,1587771060,"NYG","McKiXa00","Xavier McKinney","X.McKinney"
2,37,1587771180,"NE","DuggKy00","Kyle Dugger","K.Dugger"
2,38,1587771300,"CAR","GrosYe00","Yetur Gross-Matos","Y.Gross-Matos"
2,39,1587771780,"MIA","HuntRo01","Robert Hunt","R.Hunt"
2,40,1587771900,"HOU","BlacRo00","Ross Blacklock","R.Blacklock"
2,41,1587772080,"IND","TaylJo02","Jonathan Taylor","J.Taylor"
2,42,1587772560,"JAX","ShenLa00","Laviska Shenault Jr.","L.Jr."
2,43,1587772800,"CHI","KmetCo00","Cole Kmet","C.Kmet"
2,44,1587773160,"CLE","DelpGr00","Grant Delpit","G.Delpit"
2,45,1587773340,"TB","WinfAn00","Antoine Winfield Jr.","A.Jr."
2,46,1587773520,"DEN","HamlKJ00","KJ Hamler","K.Hamler"
2,47,1587773880,"ATL","DaviMa01","Marlon Davidson","M.Davidson"
2,48,1587774060,"SEA","TaylDa00","Darrell Taylor","D.Taylor"
2,49,1587774360,"PIT","ClayCh01","Chase Claypool","C.Claypool"
2,50,1587774540,"CHI","JohnJa13","Jaylon Johnson","J.Johnson"
2,51,1587774960,"DAL","DiggTr00","Trevon Diggs","T.Diggs"
2,52,1587775140,"LA","AkerCa00","Cam Akers","C.Akers"
2,53,1587775260,"PHI","HurtJa00","Jalen Hurts","J.Hurts"
2,54,1587775620,"BUF","EpenAJ00","A.J. Epenesa","A.Epenesa"
2,55,1587776040,"BAL","DobbJK00","J.K. Dobbins","J.Dobbins"
2,56,1587776220,"MIA","DaviRa03","Raekwon Davis","R.Davis"
2,57,1587776640,"LA","JeffVa00","Van Jefferson","V.Jefferson"
2,58,1587776760,"MIN","ClevEz00","Ezra Cleveland","E.Cleveland"
2,59,1587777240,"NYJ","MimsDe00","Denzel Mims","D.Mims"
2,60,1587777420,"NE","UcheJo00","Josh Uche","J.Uche"
2,61,1587777780,"TEN","FultKr00","Kristian Fulton","K.Fulton"
2,62,1587777960,"GB","DillAJ00","AJ Dillon","A.Dillon"
2,63,1587778320,"KC","GayJWi00","Willie Gay Jr.","W.Jr."
2,64,1587778680,"CAR","ChinJe00","Jeremy Chinn","J.Chinn"
3,65,1587778800,"CIN","WilsLo00","Logan Wilson","L.Wilson"
3,66,1587778920,"WAS","GibsAn00","Antonio Gibson","A.Gibson"
3,67,1587779220,"DET","OkwaJu00","Julian Okwara","J.Okwara"
3,68,1587779400,"NYJ","DaviAs00","Ashtyn Davis","A.Davis"
3,69,1587779520,"SEA","LewiDa05","Damien Lewis","D.Lewis"
3,70,1587779880,"MIA","JoneBr06","Brandon Jones","B.Jones"
3,71,1587780000,"BAL","MaduJu00","Justin Madubuike","J.Madubuike"
3,72,1587780120,"ARI","JoneJo07","Josh Jones","J.Jones"
3,73,1587780600,"JAX","HamiDa02","DaVon Hamilton","D.Hamilton"
3,74,1587780720,"NO","BaunZa00","Zack Baun","Z.Baun"
3,75,1587780900,"DET","JackJo03","Jonah Jackson","J.Jackson"
3,76,1587781020,"TB","VaugKe00","Ke'Shawn Vaughn","K.Vaughn"
3,77,1587781320,"DEN","OjemMi00","Michael Ojemudia","M.Ojemudia"
3,78,1587780900,"ATL","HennMa00","Matt Hennessy","M.Hennessy"
3,79,1587781800,"NYJ","ZuniJa00","Jabari Zuniga","J.Zuniga"
3,80,1587781980,"LV","BowdLy00","Lynn Bowden Jr.","L.Jr."
3,81,1587782160,"LV","EdwaBr01","Bryan Edwards","B.Edwards"
3,82,1587782280,"DAL","GallNe00","Neville Gallimore","N.Gallimore"
3,83,1587782640,"DEN","CushLl00","Lloyd Cushenberry III","L.III"
3,84,1587782820,"LA","LewiTe00","Terrell Lewis","T.Lewis"
3,85,1587782940,"IND","BlacJu01","Julian Blackmon","J.Blackmon"
3,86,1587783120,"BUF","MossZa00","Zack Moss","Z.Moss"
3,87,1587783300,"NE","JennAn00","Anfernee Jennings","A.Jennings"
3,88,1587783840,"CLE","ElliJo02","Jordan Elliott","J.Elliott"
3,89,1587783960,"MIN","DantCa00","Cameron Dantzler","C.Dantzler"
3,90,1587784080,"HOU","GreeJo04","Jonathan Greenard","J.Greenard"
3,91,1587784200,"NE","AsiaDe00","Devin Asiasi","D.Asiasi"
3,92,1587784500,"BAL","DuveDe00","Devin Duvernay","D.Duvernay"
3,93,1587784980,"TEN","EvanDa02","Darrynton Evans","D.Evans"
3,94,1587785100,"GB","DeguJo00","Josiah Deguara","J.Deguara"
3,95,1587785400,"DEN","AgimMc00","McTelvin Agim","M.Agim"
3,96,1587785520,"KC","NianLu00","Lucas Niang","L.Niang"
3,97,1587785640,"CLE","PhilJa01","Jacob Phillips","J.Phillips"
3,98,1587785880,"BAL","HarrMa06","Malik Harrison","M.Harrison"
3,99,1587786000,"NYG","PearMa00","Matt Peart","M.Peart"
3,100,1587786120,"LV","MuseTa00","Tanner Muse","T.Muse"
3,101,1587786480,"NE","KeenDa00","Dalton Keene","D.Keene"
3,102,1587786660,"PIT","HighAl02","Alex Highsmith","A.Highsmith"
3,103,1587786720,"PHI","TaylDa01","Davion Taylor","D.Taylor"
3,104,1587786840,"LA","BurgTe00","Terrell Burgess","T.Burgess"
3,105,1587786960,"NO","TrauAd00","Adam Trautman","A.Trautman"
3,106,1587787080,"BAL","PhilTy00","Tyre Phillips","T.Phillips"
