Team,Count,Proportion,Mean
LAC,7817,0.020992448,0.13591072
IND,9313,0.025009936,0.130396679
DET,14503,0.038947612,0.124482496
PHI,35223,0.094590893,0.058375155
LV,11083,0.029763248,0.107186085
JAX,6713,0.018027671,0.117975776
GB,33965,0.091212551,0.104027848
NE,18402,0.049418324,0.096257174
CHI,12731,0.034188929,0.117120924
CAR,6452,0.017326759,0.12620506
SEA,13602,0.036527988,0.106199573
SF,16341,0.043883536,0.113882776
NO,6684,0.017949792,0.102622322
MIN,21534,0.057829268,0.114465213
NYG,12490,0.033541727,0.126600401
CLE,12133,0.032583008,0.112528068
WAS,7335,0.019698044,0.108911643
BAL,12762,0.034272179,0.109538109
MIA,14079,0.037808965,0.123932132
DEN,10740,0.028842126,0.129802805
ATL,7940,0.021322763,0.078852919
ARI,5532,0.014856112,0.138027594
TB,5184,0.013921562,0.114079188
NYJ,14679,0.039420257,0.113141363
BUF,7532,0.020227085,0.117431424
CIN,6597,0.017716155,0.145045598
DAL,13812,0.03709194,0.111480222
KC,6595,0.017710784,0.130861524
HOU,5066,0.013604675,0.09754653
LA,3476,0.009334751,0.13010574
PIT,7495,0.020127722,0.12302311
TEN,4841,0.01300044,0.108463721
